"VehicleID","RawSpeed","DPSpeed","RDPSpeed","GPSpeed"
"2945","31.6428292268479","42.867992939491614","36.11320886637395","36.11320886637395"
"1156","28.63758502232902","26.074325126624842","26.632110956520837","26.632110956520837"
"3076","16.158209876543204","6.997603530572276","11.95857811691111","11.95857811691111"
"2950","26.219711779448602","28.62578840866701","28.129552653697928","28.129552653697928"
"138","21.10923114003356","22.88578109157536","22.604450540421084","22.604450540421084"
"1039","22.48615401637533","19.954420136461014","20.499620694814272","20.499620694814272"
"528","26.135372429127344","3.5887620253058543","21.190402022984344","21.190402022984344"
"2065","15.811211426556243","15.473032164783328","15.484215147953744","15.484215147953744"
"657","26.981699640287797","32.473260680146396","30.31453276407929","30.31453276407929"
"1941","16.49665929203542","37.2629327077473","21.418093333486937","21.418093333486937"
"2325","20.10548848569434","19.89550337129238","19.899851661928135","19.899851661928135"
"1949","30.951620023649937","35.93127635338683","34.10472355383524","34.10472355383524"
"422","27.075853470436986","26.915510096160084","26.91805383200468","26.91805383200468"
"2087","23.4189976580795","22.723936194689625","22.770084313534912","22.770084313534912"
"2985","14.698412408759118","15.457276359996074","15.402495041609686","15.402495041609686"
"2089","14.003314894488684","17.978799386784264","16.745627496905122","16.745627496905122"
"683","28.135037453183486","27.876574734347326","27.88314139715478","27.88314139715478"
"1708","21.59523738379827","20.538025546411813","20.642317025750195","20.642317025750195"
"942","25.526226870474908","11.100186998329647","20.805442742356863","20.805442742356863"
"3253","25.52647634584016","18.94090269027071","21.866012206500216","21.866012206500216"
"958","25.048733604703582","23.92724599127604","24.044120381494075","24.044120381494075"
"2878","25.9276732673267","25.75937807044849","25.762178885584568","25.762178885584568"
"2624","33.9046025878004","34.54119213179894","34.502333967231195","34.502333967231195"
"321","30.645943060498425","27.989265435344063","28.585040049000114","28.585040049000114"
"2630","22.950500676590003","24.69532032657479","24.423407805284057","24.423407805284057"
"1479","23.182761302868176","25.47147348932483","25.019209213709978","25.019209213709978"
"1865","33.183126436781606","58.82422588145005","38.15349092684058","38.15349092684058"
"587","20.462835019615987","21.957137603045297","21.754520760550268","21.754520760550268"
"846","26.41437262357434","22.553716417726537","23.72450925656323","23.72450925656323"
"2767","15.344345951126048","10.182438198649383","12.125134661601484","12.125134661601484"
"977","27.503568060358468","30.896890499062593","29.967097872508194","29.967097872508194"
"1233","27.685429251326834","28.039654530414534","28.0273981117735","28.0273981117735"
"593","20.920444523470987","22.024121568783563","21.910800346850277","21.910800346850277"
"2646","17.19688868188174","11.318561246488212","13.739956346961808","13.739956346961808"
"2904","23.74643178410794","25.514791303778335","25.235905346345636","25.235905346345636"
"731","24.578975206611606","23.285339921724127","23.439143784134917","23.439143784134917"
"1248","25.69362448820444","27.3055759570301","27.071547486535486","27.071547486535486"
"1376","27.829589076059182","31.693391402062666","30.5209055793329","30.5209055793329"
"2401","21.478761320479105","28.09098398307879","25.146345927736895","25.146345927736895"
"1635","21.59392055267694","25.498985532591767","24.304211137792144","24.304211137792144"
"495","24.6433871515977","22.748934401890256","23.066489853217607","23.066489853217607"
"1007","27.748765776102406","29.872683889741232","29.47920946931145","29.47920946931145"
"1264","24.868985973787158","27.39494017347475","26.85203390653798","26.85203390653798"
"754","21.79896174065419","21.31154143335323","21.3345457384432","21.3345457384432"
"115","29.148888888888845","24.002880439539055","25.935349272052065","25.935349272052065"
"2422","18.312900267481915","19.41348933974814","19.300778991389723","19.300778991389723"
"2551","27.407725490196064","24.69061819100525","25.311514538617736","25.311514538617736"
"3191","22.49671897289588","25.5632256778648","24.788918771539958","24.788918771539958"
"379","26.990686419753047","47.41312717364886","31.906527657598875","31.906527657598875"
"1660","30.555995433789718","20.268204700699222","26.194823304256197","26.194823304256197"
